video,split,track_id,frame,fps,associated,dx,dy,displacement_px,displacement_per_s,displacement_over_size
00_01_52_to_00_01_58,train,0,34,29.97002997002997,False,10.0,-3.0,10.4403,312.8963,0.214683
00_01_52_to_00_01_58,train,0,35,29.97002997002997,False,15.0,6.0,16.1555,484.1807,0.332204
00_01_52_to_00_01_58,train,0,36,29.97002997002997,False,13.0,-3.5,13.4629,403.4839,0.276837
00_01_52_to_00_01_58,train,0,37,29.97002997002997,False,16.0,1.0,16.0312,480.4561,0.288769
00_01_52_to_00_01_58,train,0,38,29.97002997002997,False,15.0,5.0,15.8114,473.8678,0.284809
00_01_52_to_00_01_58,train,0,39,29.97002997002997,False,16.0,-4.0,16.4924,494.2784,0.288587
00_01_52_to_00_01_58,train,0,40,29.97002997002997,False,16.0,0.0,16.0,479.5205,0.27997
00_01_52_to_00_01_58,train,0,41,29.97002997002997,False,13.0,3.0,13.3417,399.8501,0.233454
00_01_52_to_00_01_58,train,0,42,29.97002997002997,False,15.0,1.0,15.0333,450.5483,0.263055
00_01_52_to_00_01_58,train,0,43,29.97002997002997,False,17.0,-0.5,17.0074,509.7108,0.297597
00_01_52_to_00_01_58,train,0,44,29.97002997002997,False,16.0,-2.0,16.1245,483.2522,0.312348
00_01_52_to_00_01_58,train,0,45,29.97002997002997,False,15.0,0.0,15.0,449.5504,0.290565
00_01_52_to_00_01_58,train,0,46,29.97002997002997,False,16.5,-0.5,16.5076,494.7325,0.319768
00_01_52_to_00_01_58,train,0,47,29.97002997002997,False,16.0,0.0,16.0,479.5205,0.299392
00_01_52_to_00_01_58,train,0,48,29.97002997002997,False,12.0,0.0,12.0,359.6404,0.224544
00_01_52_to_00_01_58,train,0,49,29.97002997002997,False,16.0,3.0,16.2788,487.8767,0.30461
00_01_52_to_00_01_58,train,0,50,29.97002997002997,False,15.0,0.0,15.0,449.5504,0.28068
00_01_52_to_00_01_58,train,0,51,29.97002997002997,False,18.0,3.0,18.2483,546.9017,0.341462
00_01_52_to_00_01_58,train,0,52,29.97002997002997,False,16.0,-4.0,16.4924,494.2784,0.308607
00_01_52_to_00_01_58,train,0,53,29.97002997002997,False,15.0,0.0,15.0,449.5504,0.28068
00_01_52_to_00_01_58,train,0,54,29.97002997002997,False,18.0,1.0,18.0278,540.2924,0.337336
00_01_52_to_00_01_58,train,0,55,29.97002997002997,False,16.0,0.0,16.0,479.5205,0.299392
00_01_52_to_00_01_58,train,0,56,29.97002997002997,False,16.0,3.0,16.2788,487.8767,0.30461
00_01_52_to_00_01_58,train,0,57,29.97002997002997,False,16.0,0.0,16.0,479.5205,0.299392
00_01_52_to_00_01_58,train,0,58,29.97002997002997,False,18.0,-2.0,18.1108,542.7803,0.338889
00_01_52_to_00_01_58,train,0,59,29.97002997002997,False,15.0,-2.0,15.1327,453.5288,0.283164
00_01_52_to_00_01_58,train,0,60,29.97002997002997,False,20.0,3.0,20.2237,606.1063,0.378427
00_01_52_to_00_01_58,train,0,61,29.97002997002997,False,16.0,-2.0,16.1245,483.2522,0.301722
00_01_52_to_00_01_58,train,0,62,29.97002997002997,False,13.0,0.0,13.0,389.6104,0.243256
00_01_52_to_00_01_58,train,0,63,29.97002997002997,False,16.0,3.0,16.2788,487.8767,0.30461
00_01_52_to_00_01_58,train,0,64,29.97002997002997,False,20.0,0.0,20.0,599.4006,0.374241
00_01_52_to_00_01_58,train,0,65,29.97002997002997,False,15.0,1.0,15.0333,450.5483,0.281303
00_01_52_to_00_01_58,train,0,66,29.97002997002997,False,18.0,1.0,18.0278,540.2924,0.337336
00_01_52_to_00_01_58,train,0,67,29.97002997002997,False,15.0,0.0,15.0,449.5504,0.28068
00_01_52_to_00_01_58,train,0,68,29.97002997002997,False,20.0,0.0,20.0,599.4006,0.374241
00_01_52_to_00_01_58,train,0,69,29.97002997002997,False,13.0,-2.0,13.1529,394.1942,0.246118
00_01_52_to_00_01_58,train,0,70,29.97002997002997,False,20.0,3.0,20.2237,606.1063,0.378427
00_01_52_to_00_01_58,train,0,71,29.97002997002997,False,16.0,0.0,16.0,479.5205,0.299392
00_01_52_to_00_01_58,train,0,72,29.97002997002997,False,15.0,0.0,15.0,449.5504,0.28068
00_01_52_to_00_01_58,train,0,73,29.97002997002997,False,16.0,1.0,16.0312,480.4561,0.299977
00_01_52_to_00_01_58,train,0,74,29.97002997002997,False,23.0,0.0,23.0,689.3107,0.430377
00_01_52_to_00_01_58,train,0,75,29.97002997002997,False,13.0,-2.0,13.1529,394.1942,0.246118
00_01_52_to_00_01_58,train,0,76,29.97002997002997,False,18.0,3.0,18.2483,546.9017,0.341462
00_01_52_to_00_01_58,train,0,77,29.97002997002997,False,15.0,0.0,15.0,449.5504,0.28068
00_01_52_to_00_01_58,train,0,78,29.97002997002997,False,18.0,0.0,18.0,539.4605,0.336817
00_01_52_to_00_01_58,train,0,79,29.97002997002997,False,18.0,0.0,18.0,539.4605,0.336817
00_01_52_to_00_01_58,train,0,80,29.97002997002997,False,18.0,3.0,18.2483,546.9017,0.341462
00_01_52_to_00_01_58,train,0,81,29.97002997002997,False,15.0,-2.0,15.1327,453.5288,0.283164
00_01_52_to_00_01_58,train,0,82,29.97002997002997,False,16.0,1.0,16.0312,480.4561,0.299977
00_01_52_to_00_01_58,train,0,83,29.97002997002997,False,13.0,0.0,13.0,389.6104,0.243256
00_01_52_to_00_01_58,train,0,84,29.97002997002997,False,23.0,0.0,23.0,689.3107,0.430377
00_01_52_to_00_01_58,train,0,85,29.97002997002997,False,16.0,0.0,16.0,479.5205,0.299392
00_01_52_to_00_01_58,train,0,86,29.97002997002997,False,18.0,5.0,18.6815,559.8864,0.34957
00_01_52_to_00_01_58,train,0,87,29.97002997002997,False,16.0,-2.0,16.1245,483.2522,0.301722
00_01_52_to_00_01_58,train,0,88,29.97002997002997,False,16.0,-2.0,16.1245,483.2522,0.301722
00_01_52_to_00_01_58,train,0,89,29.97002997002997,False,16.0,3.0,16.2788,487.8767,0.30461
00_01_52_to_00_01_58,train,0,90,29.97002997002997,False,20.0,0.0,20.0,599.4006,0.374241
00_01_52_to_00_01_58,train,0,91,29.97002997002997,False,15.0,-2.0,15.1327,453.5288,0.283164
00_01_52_to_00_01_58,train,0,92,29.97002997002997,False,15.0,1.0,15.0333,450.5483,0.281303
00_01_52_to_00_01_58,train,0,93,29.97002997002997,False,18.0,1.0,18.0278,540.2924,0.337336
00_01_52_to_00_01_58,train,0,94,29.97002997002997,False,20.0,1.0,20.025,600.1494,0.374708
00_01_52_to_00_01_58,train,0,95,29.97002997002997,False,13.0,1.0,13.0384,390.7614,0.243975
00_01_52_to_00_01_58,train,0,96,29.97002997002997,False,23.0,1.0,23.0217,689.9619,0.430783
00_01_52_to_00_01_58,train,0,97,29.97002997002997,False,11.0,-2.0,11.1803,335.0751,0.209207
00_01_52_to_00_01_58,train,0,98,29.97002997002997,False,18.0,0.0,18.0,539.4605,0.336817
