video,split,scene,resolution,frame,x,y,w,h,blob_area,area_frac,coverage,label,gt_index
00_01_52_to_00_01_58,train,seaside,1920x1080,32,0,246,31,26,448,0.000216049,0.0,negative,-1
00_01_52_to_00_01_58,train,seaside,1920x1080,33,0,244,48,34,849,0.000409433,0.0,negative,-1
00_01_52_to_00_01_58,train,seaside,1920x1080,85,427,216,20,14,91,4.3885e-05,0.0,negative,-1
00_01_52_to_00_01_58,train,seaside,1920x1080,87,1859,943,42,6,92,4.4367e-05,0.0,negative,-1
00_01_52_to_00_01_58,train,seaside,1920x1080,95,1299,964,90,8,207,9.9826e-05,0.0,negative,-1
00_01_52_to_00_01_58,train,seaside,1920x1080,96,1299,964,90,9,205,9.8862e-05,0.0,negative,-1
00_01_52_to_00_01_58,train,seaside,1920x1080,96,1216,966,78,4,157,7.5714e-05,0.0,negative,-1
00_01_52_to_00_01_58,train,seaside,1920x1080,96,1416,966,56,4,96,4.6296e-05,0.0,negative,-1
00_01_52_to_00_01_58,train,seaside,1920x1080,107,1894,942,26,5,54,2.6042e-05,0.0,negative,-1
00_01_52_to_00_01_58,train,seaside,1920x1080,108,1301,964,74,4,113,5.4495e-05,0.0,negative,-1
00_01_52_to_00_01_58,train,seaside,1920x1080,109,1857,319,13,21,81,3.9063e-05,0.0,negative,-1
00_01_52_to_00_01_58,train,seaside,1920x1080,110,1298,964,108,5,225,0.000108507,0.0,negative,-1
00_01_52_to_00_01_58,train,seaside,1920x1080,111,1151,964,284,9,728,0.00035108,0.0,negative,-1
00_01_52_to_00_01_58,train,seaside,1920x1080,111,1290,964,296,11,665,0.000320698,0.0,negative,-1
00_01_52_to_00_01_58,train,seaside,1920x1080,111,1027,970,123,6,289,0.000139371,0.0,negative,-1
00_01_52_to_00_01_58,train,seaside,1920x1080,111,1194,972,95,6,208,0.000100309,0.0,negative,-1
00_01_52_to_00_01_58,train,seaside,1920x1080,112,1073,963,479,12,1573,0.000758584,0.0,negative,-1
00_01_52_to_00_01_58,train,seaside,1920x1080,112,1174,972,94,6,186,8.9699e-05,0.0,negative,-1
00_01_52_to_00_01_58,train,seaside,1920x1080,112,884,978,26,3,49,2.363e-05,0.0,negative,-1
00_01_52_to_00_01_58,train,seaside,1920x1080,112,1445,1014,19,4,41,1.9772e-05,0.0,negative,-1
00_01_52_to_00_01_58,train,seaside,1920x1080,112,1208,1020,20,3,34,1.6397e-05,0.0,negative,-1
00_01_52_to_00_01_58,train,seaside,1920x1080,113,1856,319,14,21,102,4.919e-05,0.0,negative,-1
00_01_52_to_00_01_58,train,seaside,1920x1080,113,1767,947,38,3,73,3.5204e-05,0.0,negative,-1
00_01_52_to_00_01_58,train,seaside,1920x1080,113,1696,956,26,4,42,2.0255e-05,0.0,negative,-1
00_01_52_to_00_01_58,train,seaside,1920x1080,113,1299,963,251,10,741,0.00035735,0.0,negative,-1
00_01_52_to_00_01_58,train,seaside,1920x1080,113,1074,966,221,8,502,0.000242091,0.0,negative,-1
00_01_52_to_00_01_58,train,seaside,1920x1080,113,1220,972,92,5,181,8.7288e-05,0.0,negative,-1
00_01_52_to_00_01_58,train,seaside,1920x1080,113,784,994,16,3,34,1.6397e-05,0.0,negative,-1
00_01_52_to_00_01_58,train,seaside,1920x1080,114,1858,323,13,17,87,4.1956e-05,0.0,negative,-1
00_01_52_to_00_01_58,train,seaside,1920x1080,114,1299,964,100,6,198,9.5486e-05,0.0,negative,-1
00_01_52_to_00_01_58,train,seaside,1920x1080,114,1372,968,35,4,52,2.5077e-05,0.0,negative,-1
00_01_52_to_00_01_58,train,seaside,1920x1080,115,1300,964,84,4,142,6.848e-05,0.0,negative,-1
00_01_52_to_00_01_58,train,seaside,1920x1080,116,1773,947,22,3,34,1.6397e-05,0.0,negative,-1
00_01_52_to_00_01_58,train,seaside,1920x1080,119,1608,954,40,5,88,4.2438e-05,0.0,negative,-1
00_01_52_to_00_01_58,train,seaside,1920x1080,122,1327,963,212,8,500,0.000241127,0.0,negative,-1
00_01_52_to_00_01_58,train,seaside,1920x1080,122,1232,968,64,6,131,6.3175e-05,0.0,negative,-1
00_01_52_to_00_01_58,train,seaside,1920x1080,123,1361,963,175,7,388,0.000187114,0.0,negative,-1
00_01_52_to_00_01_58,train,seaside,1920x1080,124,1606,951,42,6,102,4.919e-05,0.0,negative,-1
00_01_52_to_00_01_58,train,seaside,1920x1080,124,1354,966,23,4,51,2.4595e-05,0.0,negative,-1
00_01_52_to_00_01_58,train,seaside,1920x1080,124,1384,966,23,3,36,1.7361e-05,0.0,negative,-1
00_01_52_to_00_01_58,train,seaside,1920x1080,131,1301,964,116,4,195,9.4039e-05,0.0,negative,-1
00_01_52_to_00_01_58,train,seaside,1920x1080,132,1370,964,45,3,81,3.9063e-05,0.0,negative,-1
00_01_52_to_00_01_58,train,seaside,1920x1080,133,1297,962,185,12,626,0.00030189,0.0,negative,-1
00_01_52_to_00_01_58,train,seaside,1920x1080,133,1432,964,120,6,262,0.00012635,0.0,negative,-1
00_01_52_to_00_01_58,train,seaside,1920x1080,133,1154,967,142,6,328,0.000158179,0.0,negative,-1
00_01_52_to_00_01_58,train,seaside,1920x1080,133,1074,970,79,4,186,8.9699e-05,0.0,negative,-1
00_01_52_to_00_01_58,train,seaside,1920x1080,133,1026,972,43,4,92,4.4367e-05,0.0,negative,-1
00_01_52_to_00_01_58,train,seaside,1920x1080,133,1194,972,118,7,226,0.000108989,0.0,negative,-1
00_01_52_to_00_01_58,train,seaside,1920x1080,133,1391,1015,26,5,62,2.99e-05,0.0,negative,-1
00_01_52_to_00_01_58,train,seaside,1920x1080,134,1198,962,352,16,1323,0.000638021,0.0,negative,-1
00_01_52_to_00_01_58,train,seaside,1920x1080,134,964,974,48,4,75,3.6169e-05,0.0,negative,-1
00_01_52_to_00_01_58,train,seaside,1920x1080,135,1857,319,14,21,93,4.485e-05,0.0,negative,-1
00_01_52_to_00_01_58,train,seaside,1920x1080,135,1301,962,179,7,314,0.000151427,0.0,negative,-1
00_01_52_to_00_01_58,train,seaside,1920x1080,135,1365,965,139,7,273,0.000131655,0.0,negative,-1
00_01_52_to_00_01_58,train,seaside,1920x1080,135,1215,974,40,3,68,3.2793e-05,0.0,negative,-1
00_01_52_to_00_01_58,train,seaside,1920x1080,137,1786,947,29,3,49,2.363e-05,0.0,negative,-1
00_01_52_to_00_01_58,train,seaside,1920x1080,137,1422,967,34,2,53,2.5559e-05,0.0,negative,-1
00_01_52_to_00_01_58,train,seaside,1920x1080,138,1308,965,60,4,91,4.3885e-05,0.0,negative,-1
00_01_52_to_00_01_58,train,seaside,1920x1080,139,1338,962,143,6,254,0.000122492,0.0,negative,-1
00_01_52_to_00_01_58,train,seaside,1920x1080,139,1198,965,139,6,283,0.000136478,0.0,negative,-1
00_01_52_to_00_01_58,train,seaside,1920x1080,139,1073,969,119,5,238,0.000114776,0.0,negative,-1
00_01_52_to_00_01_58,train,seaside,1920x1080,139,1194,968,221,12,471,0.000227141,0.0,negative,-1
00_01_52_to_00_01_58,train,seaside,1920x1080,139,1024,972,48,4,98,4.7261e-05,0.0,negative,-1
00_01_52_to_00_01_58,train,seaside,1920x1080,139,1391,1016,24,4,55,2.6524e-05,0.0,negative,-1
00_01_52_to_00_01_58,train,seaside,1920x1080,140,1225,964,322,13,653,0.000314911,0.0,negative,-1
00_01_52_to_00_01_58,train,seaside,1920x1080,140,1121,967,175,6,333,0.00016059,0.0,negative,-1
00_01_52_to_00_01_58,train,seaside,1920x1080,140,1071,971,49,3,102,4.919e-05,0.0,negative,-1
00_01_52_to_00_01_58,train,seaside,1920x1080,140,1453,970,42,2,54,2.6042e-05,0.0,negative,-1
00_01_52_to_00_01_58,train,seaside,1920x1080,140,1271,1018,44,4,83,4.0027e-05,0.0,negative,-1
00_01_52_to_00_01_58,train,seaside,1920x1080,141,1443,962,37,3,50,2.4113e-05,0.0,negative,-1
00_01_52_to_00_01_58,train,seaside,1920x1080,141,1299,967,161,8,300,0.000144676,0.0,negative,-1
00_01_52_to_00_01_58,train,seaside,1920x1080,141,1221,972,66,6,123,5.9317e-05,0.0,negative,-1
00_01_52_to_00_01_58,train,seaside,1920x1080,150,1290,963,237,9,518,0.000249807,0.0,negative,-1
00_01_52_to_00_01_58,train,seaside,1920x1080,151,1366,964,100,5,221,0.000106578,0.0,negative,-1
00_01_52_to_00_01_58,train,seaside,1920x1080,161,1406,962,65,4,122,5.8835e-05,0.0,negative,-1
00_01_52_to_00_01_58,train,seaside,1920x1080,161,1121,969,75,4,147,7.0891e-05,0.0,negative,-1
00_01_52_to_00_01_58,train,seaside,1920x1080,161,1197,968,33,3,61,2.9417e-05,0.0,negative,-1
00_01_52_to_00_01_58,train,seaside,1920x1080,161,1311,968,118,7,238,0.000114776,0.0,negative,-1
00_01_52_to_00_01_58,train,seaside,1920x1080,162,1430,965,79,5,130,6.2693e-05,0.0,negative,-1
00_01_52_to_00_01_58,train,seaside,1920x1080,162,1509,965,35,3,54,2.6042e-05,0.0,negative,-1
00_01_52_to_00_01_58,train,seaside,1920x1080,162,1326,968,98,5,191,9.211e-05,0.0,negative,-1
00_01_52_to_00_01_58,train,seaside,1920x1080,163,1074,971,24,3,45,2.1701e-05,0.0,negative,-1
00_02_45_to_00_03_10_cut,train,seaside,1920x1080,36,174,1063,15,11,41,1.9772e-05,0.0,negative,-1
00_02_45_to_00_03_10_cut,train,seaside,1920x1080,53,12,256,13,6,51,2.4595e-05,0.0,negative,-1
00_02_45_to_00_03_10_cut,train,seaside,1920x1080,84,68,280,12,8,53,2.5559e-05,0.0,negative,-1
00_02_45_to_00_03_10_cut,train,seaside,1920x1080,103,1713,890,12,10,46,2.2184e-05,0.0,negative,-1
00_02_45_to_00_03_10_cut,train,seaside,1920x1080,111,1779,999,27,4,56,2.7006e-05,0.0,negative,-1
00_02_45_to_00_03_10_cut,train,seaside,1920x1080,115,1370,1065,27,5,51,2.4595e-05,0.0,negative,-1
00_02_45_to_00_03_10_cut,train,seaside,1920x1080,123,1885,1017,14,4,35,1.6879e-05,0.0,negative,-1
00_02_45_to_00_03_10_cut,train,seaside,1920x1080,137,1880,941,35,6,60,2.8935e-05,0.0,negative,-1
00_02_45_to_00_03_10_cut,train,seaside,1920x1080,137,1886,1014,34,7,92,4.4367e-05,0.0,negative,-1
00_02_45_to_00_03_10_cut,train,seaside,1920x1080,138,1888,1014,32,7,91,4.3885e-05,0.0,negative,-1
00_02_45_to_00_03_10_cut,train,seaside,1920x1080,139,1888,1014,32,7,83,4.0027e-05,0.0,negative,-1
00_02_45_to_00_03_10_cut,train,seaside,1920x1080,155,1461,1070,34,6,85,4.0992e-05,0.0,negative,-1
00_02_45_to_00_03_10_cut,train,seaside,1920x1080,156,1741,994,33,5,66,3.1829e-05,0.0,negative,-1
00_02_45_to_00_03_10_cut,train,seaside,1920x1080,158,1893,1013,22,7,58,2.7971e-05,0.0,negative,-1
00_02_45_to_00_03_10_cut,train,seaside,1920x1080,159,1883,1000,25,6,45,2.1701e-05,0.0,negative,-1
00_02_45_to_00_03_10_cut,train,seaside,1920x1080,161,1887,1012,28,7,59,2.8453e-05,0.0,negative,-1
00_02_45_to_00_03_10_cut,train,seaside,1920x1080,163,1880,1012,34,7,62,2.99e-05,0.0,negative,-1
00_02_45_to_00_03_10_cut,train,seaside,1920x1080,169,1745,994,38,5,60,2.8935e-05,0.0,negative,-1
00_02_45_to_00_03_10_cut,train,seaside,1920x1080,169,1797,995,41,6,76,3.6651e-05,0.0,negative,-1
00_02_45_to_00_03_10_cut,train,seaside,1920x1080,171,1797,995,42,7,76,3.6651e-05,0.0,negative,-1
00_02_45_to_00_03_10_cut,train,seaside,1920x1080,175,8,304,16,15,170,8.1983e-05,0.0,negative,-1
00_02_45_to_00_03_10_cut,train,seaside,1920x1080,176,1184,996,20,8,50,2.4113e-05,0.0,negative,-1
00_02_45_to_00_03_10_cut,train,seaside,1920x1080,181,72,322,12,13,99,4.7743e-05,0.0,negative,-1
00_02_45_to_00_03_10_cut,train,seaside,1920x1080,183,1461,1067,16,4,34,1.6397e-05,0.0,negative,-1
00_02_45_to_00_03_10_cut,train,seaside,1920x1080,186,121,330,14,12,93,4.485e-05,0.0,negative,-1
00_02_45_to_00_03_10_cut,train,seaside,1920x1080,187,128,336,16,8,99,4.7743e-05,0.0,negative,-1
00_02_45_to_00_03_10_cut,train,seaside,1920x1080,188,1466,1068,31,6,84,4.0509e-05,0.0,negative,-1
00_02_45_to_00_03_10_cut,train,seaside,1920x1080,190,1468,1068,29,5,75,3.6169e-05,0.0,negative,-1
00_02_45_to_00_03_10_cut,train,seaside,1920x1080,191,171,344,15,12,94,4.5332e-05,0.0,negative,-1
00_02_45_to_00_03_10_cut,train,seaside,1920x1080,195,1469,1068,29,5,76,3.6651e-05,0.0,negative,-1
00_02_45_to_00_03_10_cut,train,seaside,1920x1080,203,290,366,14,18,150,7.2338e-05,0.0,negative,-1
00_02_45_to_00_03_10_cut,train,seaside,1920x1080,205,312,368,11,16,132,6.3657e-05,0.0,negative,-1
00_02_45_to_00_03_10_cut,train,seaside,1920x1080,206,320,370,16,12,96,4.6296e-05,0.0,negative,-1
00_02_45_to_00_03_10_cut,train,seaside,1920x1080,206,1148,986,18,9,52,2.5077e-05,0.0,negative,-1
