video,split,scene,resolution,frame,x,y,w,h,blob_area,area_frac,coverage,label,gt_index
00_01_52_to_00_01_58,train,seaside,1920x1080,31,0,254,17,16,88,4.2438e-05,0.0,negative,-1
00_01_52_to_00_01_58,train,seaside,1920x1080,32,0,246,31,26,448,0.000216049,0.0,negative,-1
00_01_52_to_00_01_58,train,seaside,1920x1080,33,0,244,48,34,849,0.000409433,0.0,negative,-1
00_01_52_to_00_01_58,train,seaside,1920x1080,79,222,355,13,11,67,3.2311e-05,0.0,negative,-1
00_01_52_to_00_01_58,train,seaside,1920x1080,84,1860,943,41,6,86,4.1474e-05,0.0,negative,-1
00_01_52_to_00_01_58,train,seaside,1920x1080,87,1859,943,42,6,92,4.4367e-05,0.0,negative,-1
00_01_52_to_00_01_58,train,seaside,1920x1080,89,609,85,23,19,127,6.1246e-05,0.0,negative,-1
00_01_52_to_00_01_58,train,seaside,1920x1080,95,1299,964,90,8,207,9.9826e-05,0.0,negative,-1
00_01_52_to_00_01_58,train,seaside,1920x1080,96,1858,322,12,18,82,3.9545e-05,0.0,negative,-1
00_01_52_to_00_01_58,train,seaside,1920x1080,96,1299,964,90,9,205,9.8862e-05,0.0,negative,-1
00_01_52_to_00_01_58,train,seaside,1920x1080,97,1858,323,12,16,66,3.1829e-05,0.0,negative,-1
00_01_52_to_00_01_58,train,seaside,1920x1080,97,1299,964,85,4,148,7.1373e-05,0.0,negative,-1
00_01_52_to_00_01_58,train,seaside,1920x1080,105,1889,942,31,5,60,2.8935e-05,0.0,negative,-1
00_01_52_to_00_01_58,train,seaside,1920x1080,107,1894,942,26,5,54,2.6042e-05,0.0,negative,-1
00_01_52_to_00_01_58,train,seaside,1920x1080,110,1298,964,108,5,225,0.000108507,0.0,negative,-1
00_01_52_to_00_01_58,train,seaside,1920x1080,110,1216,966,78,5,153,7.3785e-05,0.0,negative,-1
00_01_52_to_00_01_58,train,seaside,1920x1080,111,1766,947,31,3,53,2.5559e-05,0.0,negative,-1
00_01_52_to_00_01_58,train,seaside,1920x1080,111,1151,964,284,9,728,0.00035108,0.0,negative,-1
00_01_52_to_00_01_58,train,seaside,1920x1080,111,1290,964,296,11,665,0.000320698,0.0,negative,-1
00_01_52_to_00_01_58,train,seaside,1920x1080,111,1027,970,123,6,289,0.000139371,0.0,negative,-1
00_01_52_to_00_01_58,train,seaside,1920x1080,111,1194,972,95,6,208,0.000100309,0.0,negative,-1
00_01_52_to_00_01_58,train,seaside,1920x1080,111,962,974,42,5,85,4.0992e-05,0.0,negative,-1
